x,y,Analytical solution,Numerical solution
-0.97,0.25,0.0554063,0.0549673
-0.97,0.26,0.0551048,0.0546689
-0.97,0.27,0.0547916,0.0543587
-0.97,0.28,0.0544666,0.0540369
-0.97,0.29,0.0541297,0.0537033
-0.97,0.3,0.053781,0.053358
-0.97,0.31,0.0534205,0.053001
-0.97,0.32,0.0530482,0.0526322
-0.97,0.33,0.052664,0.0522518
-0.97,0.34,0.052268,0.0518596
-0.97,0.35,0.0518603,0.0514557
-0.97,0.36,0.0514406,0.0510401
-0.97,0.37,0.0510092,0.0506127
-0.97,0.38,0.050566,0.0501737
-0.97,0.39,0.0501109,0.0497229
-0.97,0.4,0.049644,0.0492604
-0.97,0.41,0.0491653,0.0487861
-0.97,0.42,0.0486748,0.0483002
-0.97,0.43,0.0481724,0.0478025
-0.97,0.44,0.0476582,0.047293
-0.97,0.45,0.0471323,0.0467719
-0.97,0.46,0.0465944,0.046239
-0.97,0.47,0.0460448,0.0456944
-0.97,0.48,0.0454834,0.045138
-0.97,0.49,0.0449101,0.0445699
-0.97,0.5,0.044325,0.0439901
-0.97,0.51,0.0437281,0.0433985
-0.97,0.52,0.0431194,0.0427952
-0.97,0.53,0.0424988,0.0421802
-0.97,0.54,0.0418664,0.0415534
-0.97,0.55,0.0412223,0.0409149
-0.97,0.56,0.0405662,0.0402646
-0.97,0.57,0.0398984,0.0396025
-0.97,0.58,0.0392188,0.0389288
-0.97,0.59,0.0385273,0.0382432
-0.97,0.6,0.037824,0.037546
-0.97,0.61,0.0371089,0.0368369
-0.97,0.62,0.036382,0.0361161
-0.97,0.63,0.0356432,0.0353836
-0.97,0.64,0.0348926,0.0346393
-0.97,0.65,0.0341303,0.0338832
-0.97,0.66,0.033356,0.0331154
-0.97,0.67,0.03257,0.0323358
-0.97,0.68,0.0317722,0.0315445
-0.97,0.69,0.0309625,0.0307414
-0.97,0.7,0.030141,0.0299265
-0.97,0.71,0.0293077,0.0290999
-0.97,0.72,0.0284626,0.0282615
-0.97,0.73,0.0276056,0.0274113
-0.97,0.74,0.0267368,0.0265493
-0.97,0.75,0.0258563,0.0256756
-0.97,0.76,0.0249638,0.0247901
-0.97,0.77,0.0240596,0.0238928
-0.97,0.78,0.0231436,0.0229837
-0.97,0.79,0.0222157,0.0220628
-0.97,0.8,0.021276,0.0211302
-0.97,0.81,0.0203245,0.0201858
-0.97,0.82,0.0193612,0.0192295
-0.97,0.83,0.018386,0.0182615
-0.97,0.84,0.017399,0.0172818
-0.97,0.85,0.0164003,0.0162902
-0.97,0.86,0.0153896,0.0152868
-0.97,0.87,0.0143672,0.0142716
-0.97,0.88,0.013333,0.0132446
-0.97,0.89,0.0122869,0.0122059
