x,y,Analytical solution,Numerical solution
-0.9799,-0.517588,0.0291354,0.0291355
-0.9799,-0.507538,0.0295455,0.0295455
-0.9799,-0.497487,0.0299474,0.0299475
-0.9799,-0.487437,0.0303414,0.0303414
-0.9799,-0.477387,0.0307273,0.0307273
-0.9799,-0.467337,0.0311051,0.0311052
-0.9799,-0.457286,0.031475,0.031475
-0.9799,-0.447236,0.0318367,0.0318368
-0.9799,-0.437186,0.0321905,0.0321905
-0.9799,-0.427136,0.0325362,0.0325362
-0.9799,-0.417085,0.0328738,0.0328739
-0.9799,-0.407035,0.0332035,0.0332035
-0.9799,-0.396985,0.033525,0.0335251
-0.9799,-0.386935,0.0338386,0.0338386
-0.9799,-0.376884,0.0341441,0.0341441
-0.9799,-0.366834,0.0344416,0.0344416
-0.9799,-0.356784,0.034731,0.034731
-0.9799,-0.346734,0.0350124,0.0350124
-0.9799,-0.336683,0.0352857,0.0352858
-0.9799,-0.326633,0.035551,0.0355511
-0.9799,-0.316583,0.0358083,0.0358083
-0.9799,-0.306533,0.0360575,0.0360576
-0.9799,-0.296482,0.0362987,0.0362987
-0.9799,-0.286432,0.0365318,0.0365319
-0.9799,-0.276382,0.036757,0.036757
-0.9799,-0.266332,0.036974,0.0369741
-0.9799,-0.256281,0.0371831,0.0371831
-0.9799,-0.246231,0.037384,0.0373841
-0.9799,-0.236181,0.037577,0.037577
-0.9799,-0.226131,0.0377619,0.037762
-0.9799,-0.21608,0.0379388,0.0379388
-0.9799,-0.20603,0.0381076,0.0381077
-0.9799,-0.19598,0.0382684,0.0382684
-0.9799,-0.18593,0.0384211,0.0384212
-0.9799,-0.175879,0.0385659,0.0385659
-0.9799,-0.165829,0.0387025,0.0387026
-0.9799,-0.155779,0.0388312,0.0388312
-0.9799,-0.145729,0.0389518,0.0389518
-0.9799,-0.135678,0.0390643,0.0390644
-0.9799,-0.125628,0.0391688,0.0391689
-0.9799,-0.115578,0.0392653,0.0392654
-0.9799,-0.105528,0.0393537,0.0393538
-0.9799,-0.0954774,0.0394341,0.0394342
-0.9799,-0.0854272,0.0395065,0.0395065
-0.9799,-0.0753769,0.0395708,0.0395709
-0.9799,-0.0653266,0.0396271,0.0396271
-0.9799,-0.0552764,0.0396753,0.0396754
-0.9799,-0.0452262,0.0397155,0.0397156
-0.9799,-0.0351759,0.0397477,0.0397477
-0.9799,-0.0251256,0.0397718,0.0397718
-0.9799,-0.0150754,0.0397879,0.0397879
-0.9799,-0.00502515,0.0397959,0.039796
-0.9799,0.00502515,0.0397959,0.039796
-0.9799,0.0150753,0.0397879,0.0397879
-0.9799,0.0251256,0.0397718,0.0397718
-0.9799,0.0351759,0.0397477,0.0397477
-0.9799,0.0452261,0.0397155,0.0397156
-0.9799,0.0552764,0.0396753,0.0396754
-0.9799,0.0653266,0.0396271,0.0396271
-0.9799,0.0753769,0.0395708,0.0395709
-0.9799,0.0854272,0.0395065,0.0395065
-0.9799,0.0954773,0.0394341,0.0394342
-0.9799,0.105528,0.0393537,0.0393538
-0.9799,0.115578,0.0392653,0.0392654
-0.9799,0.125628,0.0391688,0.0391689
-0.9799,0.135678,0.0390643,0.0390644
-0.9799,0.145729,0.0389518,0.0389518
-0.9799,0.155779,0.0388312,0.0388312
-0.9799,0.165829,0.0387025,0.0387026
-0.9799,0.175879,0.0385659,0.0385659
-0.9799,0.18593,0.0384211,0.0384212
-0.9799,0.19598,0.0382684,0.0382684
-0.9799,0.20603,0.0381076,0.0381077
-0.9799,0.21608,0.0379388,0.0379388
-0.9799,0.226131,0.0377619,0.037762
-0.9799,0.236181,0.037577,0.037577
-0.9799,0.246231,0.037384,0.0373841
-0.9799,0.256281,0.0371831,0.0371831
-0.9799,0.266332,0.036974,0.0369741
-0.9799,0.276382,0.036757,0.036757
-0.9799,0.286432,0.0365318,0.0365319
-0.9799,0.296482,0.0362987,0.0362987
-0.9799,0.306533,0.0360575,0.0360576
-0.9799,0.316583,0.0358083,0.0358083
-0.9799,0.326633,0.035551,0.0355511
-0.9799,0.336683,0.0352857,0.0352858
-0.9799,0.346734,0.0350124,0.0350124
-0.9799,0.356784,0.034731,0.034731
-0.9799,0.366834,0.0344416,0.0344416
-0.9799,0.376884,0.0341441,0.0341441
-0.9799,0.386935,0.0338386,0.0338386
-0.9799,0.396985,0.033525,0.0335251
-0.9799,0.407035,0.0332035,0.0332035
-0.9799,0.417085,0.0328738,0.0328739
-0.9799,0.427136,0.0325362,0.0325362
-0.9799,0.437186,0.0321905,0.0321905
-0.9799,0.447236,0.0318367,0.0318368
-0.9799,0.457286,0.031475,0.031475
-0.9799,0.467337,0.0311051,0.0311052
-0.9799,0.477387,0.0307273,0.0307273
-0.9799,0.487437,0.0303414,0.0303414
-0.9799,0.497487,0.0299474,0.0299475
-0.9799,0.507538,0.0295455,0.0295455
-0.9799,0.517588,0.0291354,0.0291355
-0.9799,0.527638,0.0287174,0.0287174
-0.9799,0.537688,0.0282913,0.0282913
-0.9799,0.547739,0.0278571,0.0278572
-0.9799,0.557789,0.027415,0.027415
-0.9799,0.567839,0.0269647,0.0269648
-0.9799,0.577889,0.0265065,0.0265065
-0.9799,0.58794,0.0260402,0.0260402
-0.9799,0.59799,0.0255659,0.0255659
-0.9799,0.60804,0.0250835,0.0250835
-0.9799,0.61809,0.0245931,0.0245931
-0.9799,0.628141,0.0240946,0.0240946
-0.9799,0.638191,0.0235881,0.0235882
-0.9799,0.648241,0.0230736,0.0230736
-0.9799,0.658291,0.022551,0.022551
-0.9799,0.668342,0.0220204,0.0220204
-0.9799,0.678392,0.0214818,0.0214818
-0.9799,0.688442,0.0209351,0.0209351
-0.9799,0.698492,0.0203803,0.0203804
-0.9799,0.708543,0.0198176,0.0198176
-0.9799,0.718593,0.0192467,0.0192468
-0.9799,0.728643,0.0186679,0.0186679
-0.9799,0.738693,0.018081,0.018081
-0.9799,0.748744,0.0174861,0.0174861
-0.9799,0.758794,0.0168831,0.0168831
-0.9799,0.768844,0.0162721,0.0162721
-0.9799,0.778894,0.0156531,0.0156531
-0.9799,0.788945,0.015026,0.015026
-0.9799,0.798995,0.0143909,0.0143909
-0.9799,0.809045,0.0137477,0.0137477
-0.9799,0.819095,0.0130965,0.0130965
-0.9799,0.829146,0.0124372,0.0124372
-0.9799,0.839196,0.0117699,0.01177
-0.9799,0.849246,0.0110946,0.0110946
-0.9799,0.859296,0.0104113,0.0104113
-0.9799,0.869347,0.00971985,0.00971986
-0.9799,0.879397,0.00902041,0.00902042
-0.9799,0.889447,0.00831293,0.00831294
-0.9799,0.899498,0.0075974,0.00759741
-0.9799,0.909548,0.00687384,0.00687385
-0.9799,0.919598,0.00614224,0.00614225
-0.9799,0.929648,0.0054026,0.0054026
-0.9799,0.939698,0.00465492,0.00465492
-0.9799,0.949749,0.00389919,0.0038992
-0.9799,0.959799,0.00313544,0.00313544
-0.9799,0.969849,0.00236364,0.00236364
-0.9799,0.9799,0.00158379,0.0015838
-0.9799,0.98995,0.000795922,0.000795919
-0.969849,-0.98995,0.00118782,0.00118782
-0.969849,-0.9799,0.00236364,0.00236364
-0.969849,-0.969849,0.00352747,0.00352746
-0.969849,-0.959799,0.00467929,0.00467929
-0.969849,-0.949749,0.00581911,0.00581911
-0.969849,-0.939699,0.00694694,0.00694694
-0.969849,-0.929648,0.00806278,0.00806277
-0.969849,-0.919598,0.00916661,0.0091666
-0.969849,-0.909548,0.0102584,0.0102584
-0.969849,-0.899498,0.0113383,0.0113383
-0.969849,-0.889447,0.0124061,0.0124061
-0.969849,-0.879397,0.013462,0.0134619
-0.969849,-0.869347,0.0145058,0.0145058
-0.969849,-0.859297,0.0155376,0.0155376
-0.969849,-0.849246,0.0165575,0.0165575
-0.969849,-0.839196,0.0175653,0.0175653
-0.969849,-0.829146,0.0185612,0.0185612
-0.969849,-0.819095,0.019545,0.019545
